Project,Package,Module,Class,Smell,Method,Line no,File,Description
backend,backend.chat.services,chat_service,,Long statement,create_chat_session,113,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 122 chars in create_chat_session exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,create_chat_session,135,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 121 chars in create_chat_session exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,send_message,191,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 126 chars in send_message exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,send_message,202,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 121 chars in send_message exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,send_message,220,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 121 chars in send_message exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,get_chat_history,245,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 161 chars in get_chat_history exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,list_sessions_for_goal,257,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 153 chars in list_sessions_for_goal exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,list_sessions_for_goal,266,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 121 chars in list_sessions_for_goal exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,list_sessions_for_goal,277,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 235 chars in list_sessions_for_goal exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,explain_task,297,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 124 chars in explain_task exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,explain_task,315,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 310 chars in explain_task exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,explain_task,331,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 147 chars in explain_task exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,_generate_event_stream,442,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 151 chars in _generate_event_stream exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,stream_message,510,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 126 chars in stream_message exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,stream_message,529,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 209 chars in stream_message exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,get_suggested_questions,549,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 134 chars in get_suggested_questions exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,_build_suggestions_prompt,628,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 383 chars in _build_suggestions_prompt exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,_call_chat_llm,679,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 222 chars in _call_chat_llm exceeds the maximum length of 120 characters.
backend,backend.chat.services,chat_service,,Long statement,,2,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py,A line with 684 chars in chat_service exceeds the maximum length of 120 characters.
backend,backend.chat.services,context_builder,,Long statement,_format_goal_stats,36,C:\Users\Adity\Downloads\group02\backend\chat\services\context_builder.py,A line with 527 chars in _format_goal_stats exceeds the maximum length of 120 characters.
backend,backend.chat.services,context_builder,,Long statement,build_goal_context,118,C:\Users\Adity\Downloads\group02\backend\chat\services\context_builder.py,A line with 139 chars in build_goal_context exceeds the maximum length of 120 characters.
backend,backend.chat.services,context_builder,,Long statement,build_task_context,136,C:\Users\Adity\Downloads\group02\backend\chat\services\context_builder.py,A line with 223 chars in build_task_context exceeds the maximum length of 120 characters.
backend,backend.chat.services,context_builder,,Long statement,build_system_prompt,151,C:\Users\Adity\Downloads\group02\backend\chat\services\context_builder.py,A line with 1135 chars in build_system_prompt exceeds the maximum length of 120 characters.
backend,backend.chat.services,context_builder,,Long statement,build_system_prompt,174,C:\Users\Adity\Downloads\group02\backend\chat\services\context_builder.py,A line with 169 chars in build_system_prompt exceeds the maximum length of 120 characters.
backend,backend.chat.services,context_builder,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\chat\services\context_builder.py,A line with 198 chars in context_builder exceeds the maximum length of 120 characters.
backend,backend.chat.services,rate_limit,,Long statement,check_rate_limit,23,C:\Users\Adity\Downloads\group02\backend\chat\services\rate_limit.py,A line with 184 chars in check_rate_limit exceeds the maximum length of 120 characters.
backend,backend.chat.tests.router,test_chat_router,,Long statement,test_list_200_returns_list,206,C:\Users\Adity\Downloads\group02\backend\chat\tests\router\test_chat_router.py,A line with 247 chars in test_list_200_returns_list exceeds the maximum length of 120 characters.
backend,backend.chat.tests.router,test_chat_router,,Long statement,,2,C:\Users\Adity\Downloads\group02\backend\chat\tests\router\test_chat_router.py,A line with 159 chars in test_chat_router exceeds the maximum length of 120 characters.
backend,backend.chat.tests.service.llm,test_chat_service_llm,,Long statement,test_suggestions_returns3,101,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\llm\test_chat_service_llm.py,A line with 167 chars in test_suggestions_returns3 exceeds the maximum length of 120 characters.
backend,backend.chat.tests.service.sessions,test_chat_service_sessions,,Complex method,_assign_ids_and_timestamps,36 - 44,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\sessions\test_chat_service_sessions.py,"Method '_assign_ids_and_timestamps' has a cyclomatic complexity of 7, exceeding the max of 6."
backend,backend.chat.tests.service.sessions,test_chat_service_sessions,,Long message chain,test_history_returns_session,214,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\sessions\test_chat_service_sessions.py,"A long message chain has 9 attributes/calls chained together, more than the recommended 3 in the following statement: db.query.return_value.filter.return_value.order_by.return_value.all.return_value = [msg1, msg2]."
backend,backend.chat.tests.service.sessions,test_chat_service_sessions,,Long message chain,test_list_empty_sessions,267,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\sessions\test_chat_service_sessions.py,"A long message chain has 9 attributes/calls chained together, more than the recommended 3 in the following statement: db.query.return_value.filter.return_value.order_by.return_value.all.return_value = []."
backend,backend.chat.tests.service.utils,chat_service_test_utils,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\utils\chat_service_test_utils.py,A line with 205 chars in chat_service_test_utils exceeds the maximum length of 120 characters.
backend,backend.clients,llm_client,LLMClient,Long statement,_call_generate_content,58,C:\Users\Adity\Downloads\group02\backend\clients\llm_client.py,A line with 183 chars in _call_generate_content exceeds the maximum length of 120 characters.
backend,backend.clients,llm_client,LLMClient,Long statement,analyze_goal,88,C:\Users\Adity\Downloads\group02\backend\clients\llm_client.py,A line with 136 chars in analyze_goal exceeds the maximum length of 120 characters.
backend,backend.clients,llm_client,LLMClient,Long statement,analyze_goal,137,C:\Users\Adity\Downloads\group02\backend\clients\llm_client.py,A line with 130 chars in analyze_goal exceeds the maximum length of 120 characters.
backend,backend.clients,llm_client,LLMClient,Long statement,ping,171,C:\Users\Adity\Downloads\group02\backend\clients\llm_client.py,A line with 136 chars in ping exceeds the maximum length of 120 characters.
backend,backend.clients,llm_client,LLMClient,Long statement,ping,179,C:\Users\Adity\Downloads\group02\backend\clients\llm_client.py,A line with 130 chars in ping exceeds the maximum length of 120 characters.
backend,backend.clients,llm_client,LLMClient,Long statement,ping,193,C:\Users\Adity\Downloads\group02\backend\clients\llm_client.py,A line with 166 chars in ping exceeds the maximum length of 120 characters.
backend,backend.config,config,Config,Long statement,get_logging_config,43,C:\Users\Adity\Downloads\group02\backend\config\config.py,A line with 296 chars in get_logging_config exceeds the maximum length of 120 characters.
backend,backend.core,logging_config,LogManager,Long statement,_configure_logger,33,C:\Users\Adity\Downloads\group02\backend\core\logging_config.py,A line with 182 chars in _configure_logger exceeds the maximum length of 120 characters.
backend,backend.core,logging_config,LogManager,Long statement,_configure_logger,47,C:\Users\Adity\Downloads\group02\backend\core\logging_config.py,A line with 150 chars in _configure_logger exceeds the maximum length of 120 characters.
backend,backend.domain,goal_category,GoalCategory,Long statement,from_raw,18,C:\Users\Adity\Downloads\group02\backend\domain\goal_category.py,A line with 493 chars in from_raw exceeds the maximum length of 120 characters.
backend,backend.goals.ai,llm_service,,Long statement,build_prompt,27,C:\Users\Adity\Downloads\group02\backend\goals\ai\llm_service.py,A line with 1561 chars in build_prompt exceeds the maximum length of 120 characters.
backend,backend.goals.category,prompt_builder,,Long statement,build_goal_category_prompt,123,C:\Users\Adity\Downloads\group02\backend\goals\category\prompt_builder.py,A line with 310 chars in build_goal_category_prompt exceeds the maximum length of 120 characters.
backend,backend.goals.category,prompt_builder,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\goals\category\prompt_builder.py,A line with 6100 chars in prompt_builder exceeds the maximum length of 120 characters.
backend,backend.goals.category,router,,Long statement,detect_goal_category,24,C:\Users\Adity\Downloads\group02\backend\goals\category\router.py,A line with 136 chars in detect_goal_category exceeds the maximum length of 120 characters.
backend,backend.goals.category,router,,Long statement,detect_goal_category,39,C:\Users\Adity\Downloads\group02\backend\goals\category\router.py,A line with 155 chars in detect_goal_category exceeds the maximum length of 120 characters.
backend,backend.goals.category,router,,Long statement,detect_goal_category,47,C:\Users\Adity\Downloads\group02\backend\goals\category\router.py,A line with 180 chars in detect_goal_category exceeds the maximum length of 120 characters.
backend,backend.goals.category,router,,Long statement,detect_goal_category,56,C:\Users\Adity\Downloads\group02\backend\goals\category\router.py,A line with 188 chars in detect_goal_category exceeds the maximum length of 120 characters.
backend,backend.goals.category,service,GoalCategoryService,Long statement,_needs_more_info,56,C:\Users\Adity\Downloads\group02\backend\goals\category\service.py,A line with 181 chars in _needs_more_info exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,get_goal_tasks,67,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 246 chars in get_goal_tasks exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,create_goal_with_tasks,91,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 170 chars in create_goal_with_tasks exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,create_goal_with_tasks,121,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 188 chars in create_goal_with_tasks exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,pause_goal,172,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 178 chars in pause_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,pause_goal,182,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 151 chars in pause_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,_build_pause_context,204,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 141 chars in _build_pause_context exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,_gen_resume_tasks_chunks,227,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 230 chars in _gen_resume_tasks_chunks exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,_replace_pending_tasks,273,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 122 chars in _replace_pending_tasks exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,resume_goal,287,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 213 chars in resume_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,resume_goal,296,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 155 chars in resume_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,resume_goal,306,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 125 chars in resume_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,resume_goal,322,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 132 chars in resume_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,resume_goal,330,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 166 chars in resume_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal,service,,Long statement,resume_goal,347,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py,A line with 369 chars in resume_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long identifier,test_goals_list_returns_empty_list,68,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,Identifier'test_goals_list_returns_empty_list' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long identifier,test_goals_list_includes_task_count,77,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,Identifier'test_goals_list_includes_task_count' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long identifier,test_goals_list_returns_paused_at_field,92,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,Identifier'test_goals_list_returns_paused_at_field' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long identifier,test_goal_tasks_returns_goal_with_tasks,107,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,Identifier'test_goal_tasks_returns_goal_with_tasks' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long identifier,test_goal_tasks_404_missing_goal,120,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,Identifier'test_goal_tasks_404_missing_goal' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long statement,_seed_goal,35,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,A line with 173 chars in _seed_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py,A line with 171 chars in test_integration_goal_list_tasks exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_pause_resume,,Long statement,_seed_goal,39,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_pause_resume.py,A line with 173 chars in _seed_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.integration,test_integration_goal_pause_resume,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_pause_resume.py,A line with 166 chars in test_integration_goal_pause_resume exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long identifier,test_task_status_invalid_status_rejected,80,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,Identifier'test_task_status_invalid_status_rejected' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long identifier,test_task_status_task_not_found,93,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,Identifier'test_task_status_task_not_found' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long identifier,test_task_notes_whitespace_stripped,121,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,Identifier'test_task_notes_whitespace_stripped' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long identifier,test_replan_check_no_missed_tasks,137,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,Identifier'test_replan_check_no_missed_tasks' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long identifier,test_replan_check_paused_goal_skips_replan,148,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,Identifier'test_replan_check_paused_goal_skips_replan' exceeds the maximum length of 30 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long statement,_seed_goal,33,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,A line with 173 chars in _seed_goal exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py,A line with 168 chars in test_integration_task_endpoints exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.pause_resume,pause_resume_goal_test_utils,,Long message chain,mock_db,65,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\pause_resume_goal_test_utils.py,"A long message chain has 5 attributes/calls chained together, more than the recommended 3 in the following statement: filtered.order_by.return_value.all.return_value = (task_list or [])."
backend,backend.goals.goal.tests.pause_resume,pause_resume_goal_test_utils,,Long statement,,71,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\pause_resume_goal_test_utils.py,A line with 189 chars in pause_resume_goal_test_utils exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_notes_batch,,Long statement,test_red_notes_strip_ws,40,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py,A line with 138 chars in test_red_notes_strip_ws exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_notes_batch,,Long statement,test_red_batch_status_400,55,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py,A line with 134 chars in test_red_batch_status_400 exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_notes_batch,,Long statement,test_green_notes_commit,74,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py,A line with 128 chars in test_green_notes_commit exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_notes_batch,,Long statement,test_green_batch_ids_status,95,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py,A line with 163 chars in test_green_batch_ids_status exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_notes_batch,,Long statement,test_green_batch_skips_unauth,116,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py,A line with 163 chars in test_green_batch_skips_unauth exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_notes_batch,,Long statement,test_refactor_batch_commit,138,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py,A line with 151 chars in test_refactor_batch_commit exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_status_update,,Long statement,test_red_invalid_status_400,56,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_status_update.py,A line with 131 chars in test_red_invalid_status_400 exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_status_update,,Long statement,test_green_status_updates_db,75,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_status_update.py,A line with 136 chars in test_green_status_updates_db exceeds the maximum length of 120 characters.
backend,backend.goals.goal.tests.task,test_task_status_update,,Long statement,test_green_response_has_ids,95,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_status_update.py,A line with 138 chars in test_green_response_has_ids exceeds the maximum length of 120 characters.
backend,backend.goals.integrations,web_search_service,,Long statement,build_search_queries,21,C:\Users\Adity\Downloads\group02\backend\goals\integrations\web_search_service.py,A line with 131 chars in build_search_queries exceeds the maximum length of 120 characters.
backend,backend.goals.integrations,web_search_service,,Long statement,build_search_queries,27,C:\Users\Adity\Downloads\group02\backend\goals\integrations\web_search_service.py,A line with 148 chars in build_search_queries exceeds the maximum length of 120 characters.
backend,backend.goals.integrations,web_search_service,,Long statement,build_search_queries,33,C:\Users\Adity\Downloads\group02\backend\goals\integrations\web_search_service.py,A line with 127 chars in build_search_queries exceeds the maximum length of 120 characters.
backend,backend.goals.models,goal_adjustment_models,GoalAdjustment,Long statement,to_dict,34,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_adjustment_models.py,A line with 404 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.goals.models,goal_adjustment_models,GoalAdjustment,Long statement,__repr__,49,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_adjustment_models.py,A line with 156 chars in __repr__ exceeds the maximum length of 120 characters.
backend,backend.goals.models,goal_models,Goal,Long statement,to_dict,23,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_models.py,A line with 226 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.goals.models,task_models,Task,Long statement,to_dict,24,C:\Users\Adity\Downloads\group02\backend\goals\models\task_models.py,A line with 172 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.goals.progress,summarizer,,Long statement,build_progress_summary,37,C:\Users\Adity\Downloads\group02\backend\goals\progress\summarizer.py,A line with 380 chars in build_progress_summary exceeds the maximum length of 120 characters.
backend,backend.goals.progress,summarizer,,Long statement,build_progress_summary,70,C:\Users\Adity\Downloads\group02\backend\goals\progress\summarizer.py,A line with 402 chars in build_progress_summary exceeds the maximum length of 120 characters.
backend,backend.goals.progress,summarizer,,Long statement,format_summary_for_llm,119,C:\Users\Adity\Downloads\group02\backend\goals\progress\summarizer.py,A line with 155 chars in format_summary_for_llm exceeds the maximum length of 120 characters.
backend,backend.goals.progress,summarizer,,Long statement,format_summary_for_llm,126,C:\Users\Adity\Downloads\group02\backend\goals\progress\summarizer.py,A line with 270 chars in format_summary_for_llm exceeds the maximum length of 120 characters.
backend,backend.goals.progress.tests,test_progress_summarizer,,Long statement,test_green_counts_completed,107,C:\Users\Adity\Downloads\group02\backend\goals\progress\tests\test_progress_summarizer.py,A line with 338 chars in test_green_counts_completed exceeds the maximum length of 120 characters.
backend,backend.goals.progress.tests,test_progress_summarizer,,Long statement,test_counts_missed_tasks,141,C:\Users\Adity\Downloads\group02\backend\goals\progress\tests\test_progress_summarizer.py,A line with 362 chars in test_counts_missed_tasks exceeds the maximum length of 120 characters.
backend,backend.goals.progress.tests,test_progress_summarizer,,Long statement,test_green_completion_mixed,175,C:\Users\Adity\Downloads\group02\backend\goals\progress\tests\test_progress_summarizer.py,A line with 456 chars in test_green_completion_mixed exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap,router,,Long statement,get_user_roadmap,19,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\router.py,A line with 137 chars in get_user_roadmap exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap,router,,Long statement,get_user_roadmap,31,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\router.py,A line with 162 chars in get_user_roadmap exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap,router,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\router.py,A line with 152 chars in router exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap,service,RoadmapService,Long statement,generate_roadmap,250,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\service.py,A line with 134 chars in generate_roadmap exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap,service,RoadmapService,Long statement,_immigration_roadmap,296,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\service.py,A line with 642 chars in _immigration_roadmap exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap,service,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\service.py,A line with 159 chars in service exceeds the maximum length of 120 characters.
