Project,Package,Module,Smell,Class,Line no,File,Description
backend,backend.goals.goal.tests.pause_resume,pause_resume_goal_test_utils,Multifaceted abstraction,pause_resume_goal_test_utils,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\pause_resume_goal_test_utils.py,"Class 'pause_resume_goal_test_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.goals.goal.tests.pause_resume,test_goal_pause,Multifaceted abstraction,test_goal_pause,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\test_goal_pause.py,"Class 'test_goal_pause' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.goals.goal.tests.pause_resume,test_goal_pause_resume_replan,Multifaceted abstraction,test_goal_pause_resume_replan,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\test_goal_pause_resume_replan.py,"Class 'test_goal_pause_resume_replan' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.goals.goal.tests.pause_resume,test_goal_resume,Multifaceted abstraction,test_goal_resume,1,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\test_goal_resume.py,"Class 'test_goal_resume' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.goals.roadmap.tests,test_roadmap_service_core,Multifaceted abstraction,test_roadmap_service_core,1,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\tests\test_roadmap_service_core.py,"Class 'test_roadmap_service_core' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.goals.roadmap.tests,test_roadmap_service_other_agents,Multifaceted abstraction,test_roadmap_service_other_agents,1,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\tests\test_roadmap_service_other_agents.py,"Class 'test_roadmap_service_other_agents' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.notifications.tests.notification,test_notification_create,Multifaceted abstraction,test_notification_create,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_create.py,"Class 'test_notification_create' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.notifications.tests.notification,test_notification_email_html,Multifaceted abstraction,test_notification_email_html,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_email_html.py,"Class 'test_notification_email_html' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.notifications.tests.notification,test_notification_email_send,Multifaceted abstraction,test_notification_email_send,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_email_send.py,"Class 'test_notification_email_send' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.notifications.tests.reminder,reminder_service_test_utils,Multifaceted abstraction,reminder_service_test_utils,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\reminder\reminder_service_test_utils.py,"Class 'reminder_service_test_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.notifications.tests.reminder,test_reminder_messages,Multifaceted abstraction,test_reminder_messages,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\reminder\test_reminder_messages.py,"Class 'test_reminder_messages' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.notifications.tests.reminder,test_reminder_triggers,Multifaceted abstraction,test_reminder_triggers,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\reminder\test_reminder_triggers.py,"Class 'test_reminder_triggers' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.replan.llm.tests,test_replan_llm,Multifaceted abstraction,test_replan_llm,1,C:\Users\Adity\Downloads\group02\backend\replan\llm\tests\test_replan_llm.py,"Class 'test_replan_llm' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.tests.fixtures,auth_fixtures,Multifaceted abstraction,auth_fixtures,1,C:\Users\Adity\Downloads\group02\backend\tests\fixtures\auth_fixtures.py,"Class 'auth_fixtures' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.tests.fixtures,db_fixtures,Multifaceted abstraction,db_fixtures,1,C:\Users\Adity\Downloads\group02\backend\tests\fixtures\db_fixtures.py,"Class 'db_fixtures' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.tests.models,test_chat_models,Multifaceted abstraction,test_chat_models,1,C:\Users\Adity\Downloads\group02\backend\tests\models\test_chat_models.py,"Class 'test_chat_models' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.tests.schemas,test_chat_schemas,Multifaceted abstraction,test_chat_schemas,1,C:\Users\Adity\Downloads\group02\backend\tests\schemas\test_chat_schemas.py,"Class 'test_chat_schemas' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.tests.workflows,test_goal_creation_workflow,Multifaceted abstraction,test_goal_creation_workflow,1,C:\Users\Adity\Downloads\group02\backend\tests\workflows\test_goal_creation_workflow.py,"Class 'test_goal_creation_workflow' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.tests.workflows,test_replan_workflow,Multifaceted abstraction,test_replan_workflow,1,C:\Users\Adity\Downloads\group02\backend\tests\workflows\test_replan_workflow.py,"Class 'test_replan_workflow' has a high LCOM value of 1, indicating it may have multiple responsibilities."
